Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
Back At One,Brian McKnight,Back At One,1999-09-21,263666,False,72,Quiet Storm,0.66,0.347,11.0,-9.114,1.0,0.03,0.452,0.0,0.131,0.256,129.747,4.0,Motown,back at one,brian mcknight
I Wanna Love You Forever,Jessica Simpson,Sweet Kisses,1999-11-16,263800,False,55,,0.59,0.666,4.0,-4.047,0.0,0.0244,0.156,0.0,0.136,0.0743,104.042,4.0,Columbia,i wanna love you forever,jessica simpson
My Love Is Your Love,Whitney Houston,My Love Is Your Love,1998-11-17,261573,False,69,,0.77,0.475,7.0,-9.512,1.0,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,4.0,Arista,my love is your love,whitney houston
I Knew I Loved You,Savage Garden,Affirmation,1999-11-09,250360,False,72,,0.61,0.497,9.0,-9.88,1.0,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,4.0,Columbia,i knew i loved you,savage garden
Auld Lang Syne,Kenny G,The Classic Christmas Album,2012-09-21,293346,False,27,Smooth Jazz,0.16,0.296,0.0,-11.86,1.0,0.0348,0.111,0.847,0.101,0.0388,62.33,4.0,Arista/Legacy,auld lang syne,kenny g
I Need to Know,Marc Anthony,Marc Anthony,1999-09-28,227706,False,55,Salsa,0.813,0.949,3.0,-2.563,0.0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,4.0,Columbia,i need to know,marc anthony
Bring It All to Me (feat. *NSYNC),"Blaque, *NSYNC",Blaque,1999-05-28,218186,False,59,,0.695,0.579,0.0,-5.066,1.0,0.0325,0.000479,0.0,0.0556,0.726,88.957,4.0,Sony Music Entertainment,bring it all to me,blaque
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","Donell Jones, Lisa ""Left Eye"" Lopes",Where I Wanna Be,1999-05-29,243733,True,67,R&B,0.854,0.543,8.0,-6.166,0.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,4.0,Arista/LaFace Records,u know whats up,donell jones
What a Girl Wants,Christina Aguilera,Christina Aguilera (Expanded Edition),1999,215800,False,69,,0.754,0.819,0.0,-6.833,1.0,0.112,0.0684,0.0,0.345,0.818,142.137,4.0,RCA Records Label,what a girl wants,christina aguilera
Girl On TV,LFO,LFO,1999-08-10,247600,False,52,,0.688,0.716,4.0,-4.001,0.0,0.0297,0.131,0.0,0.134,0.352,96.043,4.0,Arista,girl on tv,lfo
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Europop,2011-01-05,283747,False,78,Eurodance,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,4.0,Hits Only,blue,eiffel 65
24/7,Kevon Edmonds,24/7,1999-10-25,274266,False,43,Quiet Storm,0.696,0.627,4.0,-5.629,1.0,0.0334,0.0685,0.0,0.0993,0.322,116.047,4.0,RCA Records Label,247,kevon edmonds
He Can't Love U,Jagged Edge,J.E. Heartbreak,2000-01-18,244053,False,54,R&B,0.721,0.836,8.0,-3.972,0.0,0.206,0.112,0.0,0.235,0.508,126.279,4.0,So So Def,he cant love u,jagged edge
Then The Morning Comes,Smash Mouth,Astro Lounge,1999-06-08,182266,False,53,,0.729,0.882,5.0,-5.025,0.0,0.0283,0.0227,0.0,0.0873,0.964,118.58,4.0,Interscope,then the morning comes,smash mouth
That's the Way It Is,Céline Dion,Love Again (Soundtrack from the Motion Picture),2023-05-12,242626,False,71,Variété Française,0.529,0.862,4.0,-5.528,1.0,0.0676,0.0756,0.0,0.114,0.535,186.026,4.0,Columbia,thats the way it is,celine dion
Waiting for Tonight,Jennifer Lopez,On The 6,1999-06-01,246426,False,70,,0.695,0.945,10.0,-6.165,0.0,0.0418,0.00341,0.0727,0.103,0.84,125.013,4.0,Work,waiting for tonight,jennifer lopez
Get It On Tonite,Montell Jordan,Best Of Montell Jordan,2015-09-25,277413,False,61,New Jack Swing,0.807,0.498,10.0,-9.91,0.0,0.0755,0.259,3.04e-05,0.0618,0.857,99.001,4.0,Def Soul,get it on tonite,montell jordan
Don't Say You Love Me,M2M,Shades of Purple,2000-02-15,225200,False,65,,0.627,0.723,1.0,-6.241,0.0,0.0341,0.0141,3.66e-05,0.118,0.596,97.555,4.0,Atlantic Records,dont say you love me,m2m
Dancing in the Spark,"Guy, Lin Forester",Dancing in the Spark,2025-05-08,240024,False,40,,0.862,0.725,2.0,-7.593,1.0,0.0901,0.0237,0.0,0.651,0.427,104.965,4.0,GLMD,dancing in the spark,guy lin forester
Stay The Night - Radio Edit,IMx,Greatest Hits: Immature,2001-01-01,219466,False,31,,0.585,0.709,11.0,-5.604,1.0,0.0611,0.0111,0.0,0.202,0.726,183.22,4.0,Hip-O (UC),stay the night,imx
Meet Virginia,Train,Train,1998-02-24,239933,False,65,Soft Pop,0.675,0.553,7.0,-7.775,1.0,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,4.0,Aware,meet virginia,train
Unpretty,TLC,Fanmail,1999-02-23,278066,False,64,,0.648,0.622,7.0,-6.063,1.0,0.0428,0.00152,5.97e-05,0.109,0.51,88.684,4.0,Arista/LaFace Records,unpretty,tlc
Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,1999-11-02,235293,False,78,Rock,0.465,0.919,4.0,-4.025,1.0,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,4.0,RCA Records Label,learn to fly,foo fighters
Steal My Sunshine,LEN,You Can't Stop The Bum Rush,1999-05-25,265533,False,65,,0.412,0.829,4.0,-11.112,1.0,0.529,0.394,0.0,0.108,0.677,191.476,4.0,Work,steal my sunshine,len
Where My Girls At,702,702,1999-01-01,166693,False,64,R&B,0.705,0.725,4.0,-7.435,1.0,0.0506,0.0352,0.0149,0.194,0.76,92.186,4.0,Motown,where my girls at,702
Big Deal,LeAnn Rimes,LeAnn Rimes,1996-10-26,188266,False,33,,0.498,0.806,2.0,-5.297,1.0,0.0394,0.00472,0.0,0.127,0.677,151.781,4.0,Curb Records,big deal,leann rimes
Someday,Sugar Ray,14:59,1999-01-12,242800,False,71,,0.745,0.682,1.0,-4.39,0.0,0.0287,0.0105,0.0836,0.21,0.939,110.855,4.0,RT Industries,someday,sugar ray
Hanginaround,Counting Crows,This Desert Life,1999,247333,False,65,,0.503,0.785,0.0,-6.571,1.0,0.0743,0.295,0.0,0.744,0.734,91.464,4.0,Geffen,hanginaround,counting crows
Take A Picture,Filter,Title Of Record (Expanded Edition),1999-08-24,363800,False,68,Industrial Rock,0.541,0.776,2.0,-8.042,1.0,0.0298,0.00147,0.000221,0.178,0.282,98.986,4.0,Craft Recordings,take a picture,filter
Mambo No. 5 (a Little Bit of...),Lou Bega,A Little Bit of Mambo,1999-07-19,220293,False,80,,0.622,0.807,5.0,-6.752,0.0,0.408,0.103,0.0,0.306,0.892,174.06,4.0,Sony Music/Vorsicht Musik,mambo no 5,lou bega
Get Gone,Ideal,Ideal,1999-01-01,275173,False,43,,0.702,0.52,10.0,-8.581,1.0,0.0725,0.435,0.0,0.299,0.467,120.005,4.0,Virgin Records,get gone,ideal
Black Balloon,The Goo Goo Dolls,Dizzy up the Girl,1998,249533,False,66,,0.339,0.625,1.0,-8.57,1.0,0.028,0.057,0.000102,0.229,0.334,104.68,4.0,Warner Records,black balloon,goo goo dolls
